,id,full_name,is_active
0,76001,Alaa Abdelnaby,0
1,76002,Zaid Abdul-Aziz,0
2,76003,Kareem Abdul-Jabbar,0
3,51,Mahmoud Abdul-Rauf,0
4,1505,Tariq Abdul-Wahad,0
5,949,Shareef Abdur-Rahim,0
6,76005,Tom Abernethy,0
7,76006,Forest Able,0
8,76007,John Abramovic,0
9,203518,Alex Abrines,0
10,101165,Alex Acker,0
11,76008,Donald Ackerman,0
12,76009,Mark Acres,0
13,76010,Charles Acton,0
14,203112,Quincy Acy,0
15,76011,Alvan Adams,0
16,76012,Don Adams,0
17,200801,Hassan Adams,0
18,1629121,Jaylen Adams,0
19,203919,Jordan Adams,0
20,149,Michael Adams,0
21,203500,Steven Adams,0
22,912,Rafael Addison,0
23,1628389,Bam Adebayo,0
24,1629061,Deng Adel,0
25,76015,Rick Adelman,0
26,202399,Jeff Adrien,0
27,201167,Arron Afflalo,0
28,200772,Maurice Ager,0
29,76016,Mark Aguirre,0
30,201336,Blake Ahearn,0
31,76017,Danny Ainge,0
32,201582,Alexis Ajinca,0
33,76018,Henry Akin,0
34,203006,Josh Akognon,0
35,1629152,DeVaughn Akoon-Purcell,0
36,202374,Solomon Alabi,0
37,76019,Mark Alarie,0
38,76020,Gary Alcorn,0
39,203128,Furkan Aldemir,0
40,202332,Cole Aldrich,0
41,200746,LaMarcus Aldridge,0
42,76021,Chuck Aleksinas,0
43,1626146,Cliff Alexander,0
44,724,Cory Alexander,0
45,2042,Courtney Alexander,0
46,76022,Gary Alexander,0
47,201570,Joe Alexander,0
48,1629734,Kyle Alexander,0
49,2349,Victor Alexander,0
50,1629638,Nickeil Alexander-Walker,0
51,76024,Steve Alford,0
52,1628959,Rawle Alkins,0
53,76028,Bob Allen,0
54,1628960,Grayson Allen,0
55,1628386,Jarrett Allen,0
56,706,Jerome Allen,0
57,1628443,Kadeem Allen,0
58,202730,Lavoy Allen,0
59,76027,Lucius Allen,0
60,2124,Malik Allen,0
61,76025,Randy Allen,0
62,951,Ray Allen,0
63,2754,Tony Allen,0
64,76029,Odis Allison,0
65,200984,Lance Allred,0
66,76030,Darrell Allums,0
67,201165,Morris Almond,0
68,308,Derrick Alston,0
69,1747,Rafer Alston,0
